id,canonical_key,family,domain,order,domain_size,generator_images,target_phase_order,reduced_phase_order,phase_rotation_order,image_order,kernel_elements,kernel_order,graph_nonproduct,extension_type,time_reversing,frame_divisor,tags,realized_in_moduli,translation_d4_orbit_key,quotient_projection_split,product_lattice_cover_split
dihedral-d4-75fc00e69c07,dihedral|D4|4|r=rev:1/10;s=shift:0/1,dihedral,D4,4,8,r=rev:1/10;s=shift:0/1,10,10,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,10,,,
dihedral-d4-e691ba23e30e,dihedral|D4|4|r=rev:1/10;s=shift:1/2,dihedral,D4,4,8,r=rev:1/10;s=shift:1/2,10,10,2,4,1;r^2,2,true,non_split,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,10,,,
dihedral-d4-8a5375ffcdb1,dihedral|D4|4|r=rev:1/12;s=rev:1/12,dihedral,D4,4,8,r=rev:1/12;s=rev:1/12,12,12,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,12,,,
dihedral-d4-785a6db7930e,dihedral|D4|4|r=rev:1/12;s=rev:7/12,dihedral,D4,4,8,r=rev:1/12;s=rev:7/12,12,12,2,4,1;r^2,2,true,non_split,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,12,,,
dihedral-d4-e6fab73193cd,dihedral|D4|4|r=rev:1/12;s=shift:0/1,dihedral,D4,4,8,r=rev:1/12;s=shift:0/1,12,12,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,12,,,
dihedral-d4-c1799d28c45a,dihedral|D4|4|r=rev:1/12;s=shift:1/2,dihedral,D4,4,8,r=rev:1/12;s=shift:1/2,12,12,2,4,1;r^2,2,true,non_split,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,12,,,
dihedral-d4-afc10313cce9,dihedral|D4|4|r=rev:1/2;s=rev:0/1,dihedral,D4,4,8,r=rev:1/2;s=rev:0/1,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2,,,
dihedral-d4-8fa574764139,dihedral|D4|4|r=rev:1/2;s=rev:1/2,dihedral,D4,4,8,r=rev:1/2;s=rev:1/2,2,2,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2,,,
dihedral-d4-41028daaaa45,dihedral|D4|4|r=rev:1/2;s=shift:0/1,dihedral,D4,4,8,r=rev:1/2;s=shift:0/1,2,2,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2,,,
dihedral-d4-e8dd799dca3c,dihedral|D4|4|r=rev:1/2;s=shift:1/2,dihedral,D4,4,8,r=rev:1/2;s=shift:1/2,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2,,,
dihedral-d4-4c0ff73638c9,dihedral|D4|4|r=rev:1/4;s=rev:1/4,dihedral,D4,4,8,r=rev:1/4;s=rev:1/4,4,4,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,4,,,
dihedral-d4-e45f0e46e0c0,dihedral|D4|4|r=rev:1/4;s=rev:3/4,dihedral,D4,4,8,r=rev:1/4;s=rev:3/4,4,4,2,4,1;r^2,2,true,non_split,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,4,,,
dihedral-d4-57f005c8a73e,dihedral|D4|4|r=rev:1/4;s=shift:0/1,dihedral,D4,4,8,r=rev:1/4;s=shift:0/1,4,4,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,4,,,
dihedral-d4-1da92bd4cc12,dihedral|D4|4|r=rev:1/4;s=shift:1/2,dihedral,D4,4,8,r=rev:1/4;s=shift:1/2,4,4,2,4,1;r^2,2,true,non_split,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,4,,,
dihedral-d4-79bac3b0b1c3,dihedral|D4|4|r=rev:1/6;s=rev:1/6,dihedral,D4,4,8,r=rev:1/6;s=rev:1/6,6,6,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,6,,,
dihedral-d4-5d53b0df7942,dihedral|D4|4|r=rev:1/6;s=rev:2/3,dihedral,D4,4,8,r=rev:1/6;s=rev:2/3,6,6,2,4,1;r^2,2,true,non_split,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,6,,,
dihedral-d4-367a38e21548,dihedral|D4|4|r=rev:1/6;s=shift:0/1,dihedral,D4,4,8,r=rev:1/6;s=shift:0/1,6,6,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,6,,,
dihedral-d4-9771227dc512,dihedral|D4|4|r=rev:1/6;s=shift:1/2,dihedral,D4,4,8,r=rev:1/6;s=shift:1/2,6,6,2,4,1;r^2,2,true,non_split,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,6,,,
dihedral-d4-b99e22424175,dihedral|D4|4|r=rev:1/8;s=rev:1/8,dihedral,D4,4,8,r=rev:1/8;s=rev:1/8,8,8,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,8,,,
dihedral-d4-a42a1f3171a6,dihedral|D4|4|r=rev:1/8;s=rev:5/8,dihedral,D4,4,8,r=rev:1/8;s=rev:5/8,8,8,2,4,1;r^2,2,true,non_split,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,8,,,
dihedral-d4-3d20c8fa3c0f,dihedral|D4|4|r=rev:1/8;s=shift:0/1,dihedral,D4,4,8,r=rev:1/8;s=shift:0/1,8,8,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,8,,,
dihedral-d4-827a295df4d3,dihedral|D4|4|r=rev:1/8;s=shift:1/2,dihedral,D4,4,8,r=rev:1/8;s=shift:1/2,8,8,2,4,1;r^2,2,true,non_split,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,8,,,
dihedral-d4-fe8458a23a10,dihedral|D4|4|r=shift:0/1;s=rev:0/1,dihedral,D4,4,8,r=shift:0/1;s=rev:0/1,2,1,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,1,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2;3;4;5;6;7;8;9;10;11;12,,,
dihedral-d4-37fdd48496b6,dihedral|D4|4|r=shift:0/1;s=rev:1/10,dihedral,D4,4,8,r=shift:0/1;s=rev:1/10,10,10,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,10,,,
dihedral-d4-f4219e0b14ba,dihedral|D4|4|r=shift:0/1;s=rev:1/12,dihedral,D4,4,8,r=shift:0/1;s=rev:1/12,12,12,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,12,,,
dihedral-d4-9b0846fba6b2,dihedral|D4|4|r=shift:0/1;s=rev:1/2,dihedral,D4,4,8,r=shift:0/1;s=rev:1/2,2,2,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2,,,
dihedral-d4-b3b10b809475,dihedral|D4|4|r=shift:0/1;s=rev:1/4,dihedral,D4,4,8,r=shift:0/1;s=rev:1/4,4,4,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,4,,,
dihedral-d4-a1492f9253eb,dihedral|D4|4|r=shift:0/1;s=rev:1/6,dihedral,D4,4,8,r=shift:0/1;s=rev:1/6,6,6,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,6,,,
dihedral-d4-b55528241dfe,dihedral|D4|4|r=shift:0/1;s=rev:1/8,dihedral,D4,4,8,r=shift:0/1;s=rev:1/8,8,8,1,2,1;r;r^2;r^3,4,true,split_semidirect,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,8,,,
dihedral-d4-be4f76747de8,dihedral|D4|4|r=shift:0/1;s=shift:1/2,dihedral,D4,4,8,r=shift:0/1;s=shift:1/2,2,2,2,2,1;r;r^2;r^3,4,true,split_semidirect,false,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;phase_shifting;split_semidirect,2;4;6;8;10;12,,,
dihedral-d4-681af57a95a9,dihedral|D4|4|r=shift:1/2;s=rev:0/1,dihedral,D4,4,8,r=shift:1/2;s=rev:0/1,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2;4;6;8;10;12,,,
dihedral-d4-294e6e334a88,dihedral|D4|4|r=shift:1/2;s=rev:1/10,dihedral,D4,4,8,r=shift:1/2;s=rev:1/10,10,10,2,4,1;r^2,2,true,non_split,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,10,,,
dihedral-d4-e1891f4b6810,dihedral|D4|4|r=shift:1/2;s=rev:1/12,dihedral,D4,4,8,r=shift:1/2;s=rev:1/12,12,12,2,4,1;r^2,2,true,non_split,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,12,,,
dihedral-d4-da14c2e20a80,dihedral|D4|4|r=shift:1/2;s=rev:1/2,dihedral,D4,4,8,r=shift:1/2;s=rev:1/2,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2,,,
dihedral-d4-2d5a76877955,dihedral|D4|4|r=shift:1/2;s=rev:1/4,dihedral,D4,4,8,r=shift:1/2;s=rev:1/4,4,4,2,4,1;r^2,2,true,non_split,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,4,,,
dihedral-d4-a0e038c8b83d,dihedral|D4|4|r=shift:1/2;s=rev:1/6,dihedral,D4,4,8,r=shift:1/2;s=rev:1/6,6,6,2,4,1;r^2,2,true,non_split,true,6,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,6,,,
dihedral-d4-61f3902c2c0e,dihedral|D4|4|r=shift:1/2;s=rev:1/8,dihedral,D4,4,8,r=shift:1/2;s=rev:1/8,8,8,2,4,1;r^2,2,true,non_split,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,8,,,
dihedral-d4-749c3c3be945,dihedral|D4|4|r=shift:1/2;s=shift:0/1,dihedral,D4,4,8,r=shift:1/2;s=shift:0/1,2,2,2,2,1;r^2;s;r^2 s,4,true,split_semidirect,false,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;phase_shifting;split_semidirect,2;4;6;8;10;12,,,
dihedral-d4-cf48ad340e13,dihedral|D4|4|r=shift:1/2;s=shift:1/2,dihedral,D4,4,8,r=shift:1/2;s=shift:1/2,2,2,2,2,1;r^2;r s;r^3 s,4,true,split_semidirect,false,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;phase_shifting;split_semidirect,2;4;6;8;10;12,,,
dihedral-d4-78845b0d4e57,dihedral|D4|4|r=shift:1/4;s=rev:0/1,dihedral,D4,4,8,r=shift:1/4;s=rev:0/1,4,4,4,8,1,1,true,trivial,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_8;time_reversing;trivial,4;8;12,,,
dihedral-d4-e0ba020f1e9d,dihedral|D4|4|r=shift:1/4;s=rev:1/12,dihedral,D4,4,8,r=shift:1/4;s=rev:1/12,12,12,4,8,1,1,true,trivial,true,12,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_8;time_reversing;trivial,12,,,
dihedral-d4-175fec7a5308,dihedral|D4|4|r=shift:1/4;s=rev:1/4,dihedral,D4,4,8,r=shift:1/4;s=rev:1/4,4,4,4,8,1,1,true,trivial,true,4,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_8;time_reversing;trivial,4,,,
dihedral-d4-b601a4f13fb1,dihedral|D4|4|r=shift:1/4;s=rev:1/8,dihedral,D4,4,8,r=shift:1/4;s=rev:1/8,8,8,4,8,1,1,true,trivial,true,8,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_8;time_reversing;trivial,8,,,
dihedral-d6-26285435d0eb,dihedral|D6|6|r=rev:0/1;s=rev:0/1,dihedral,D6,6,12,r=rev:0/1;s=rev:0/1,2,1,1,2,1;r^2;r^4;r s;r^3 s;r^5 s,6,true,direct_product,true,1,d6;dihedral;dihedral_choreography;direct_product;graph_nonproduct;image_order_2;time_reversing,2;3;4;5;6;7;8;9;10;11;12,,,
